PbID	Yeastpheno
PBANKA_145690	inviable 
PBANKA_081990	viable 
PBANKA_121360	inviable 
PBANKA_010460	viable 
PBANKA_142670	inviable 
PBANKA_112910	inviable 
PBANKA_110940	inviable 
PBANKA_040460	viable 
PBANKA_021300	viable 
PBANKA_090390	inviable 
PBANKA_110720	competitive fitness: decreased 
PBANKA_132680	inviable 
PBANKA_146140	viable 
PBANKA_070510	inviable 
PBANKA_102290	inviable 
PBANKA_140930	inviable 
PBANKA_060820	viable 
PBANKA_145450	inviable 
PBANKA_071220	viable 
PBANKA_122770	viable 
PBANKA_082650	viable 
PBANKA_102190	inviable 
PBANKA_041570	competitive fitness: decreased 
PBANKA_113250	inviable 
PBANKA_121620	competitive fitness: decreased 
PBANKA_130560	viable 
PBANKA_080640	viable 
PBANKA_103670	competitive fitness: decreased 
PBANKA_145240	viable 
PBANKA_082330	viable 
PBANKA_061340	viable 
PBANKA_010610	viable 
PBANKA_103470	inviable 
PBANKA_142620	viable 
PBANKA_102040	inviable 
PBANKA_061760	inviable 
PBANKA_140340	inviable 
PBANKA_111010	competitive fitness: decreased 
PBANKA_122320	viable 
PBANKA_133420	inviable 
PBANKA_121760	#N/A
PBANKA_102090	viable 
PBANKA_145640	competitive fitness: decreased 
PBANKA_113560	inviable 
PBANKA_113350	viable 
PBANKA_092450	inviable 
PBANKA_113050	inviable 
PBANKA_050420	competitive fitness: decreased 
PBANKA_111180	viable 
PBANKA_083290	viable 
PBANKA_021350	inviable 
PBANKA_092900	viable 
PBANKA_145510	inviable 
PBANKA_062180	viable 
PBANKA_135070	inviable 
PBANKA_092980	viable 
PBANKA_093040	viable 
PBANKA_135620	viable 
PBANKA_133860	inviable 
PBANKA_080620	inviable 
PBANKA_140550	#N/A
PBANKA_143570	viable 
PBANKA_134780	inviable 
PBANKA_134730	viable 
PBANKA_101050	viable 
PBANKA_132270	inviable 
PBANKA_072080	inviable 
PBANKA_083400	inviable 
PBANKA_051190	inviable 
PBANKA_132630	viable 
PBANKA_136130	competitive fitness: decreased 
PBANKA_071930	inviable 
PBANKA_133080	inviable 
PBANKA_145800	viable 
PBANKA_111420	inviable 
PBANKA_021090	inviable 
PBANKA_141210	viable 
PBANKA_110320	viable 
PBANKA_111790	competitive fitness: decreased 
PBANKA_091790	inviable 
PBANKA_144560	inviable 
PBANKA_093850	viable 
PBANKA_082520	inviable 
PBANKA_133250	#N/A
PBANKA_031110	viable 
PBANKA_134330	inviable 
PBANKA_136300	inviable 
PBANKA_130250	competitive fitness: decreased 
PBANKA_102660	viable 
PBANKA_134660	inviable 
PBANKA_114070	inviable 
PBANKA_134560	viable 
PBANKA_135750	viable 
PBANKA_113140	viable 
PBANKA_111680	viable 
PBANKA_031500	viable 
PBANKA_080540	inviable 
PBANKA_031600	inviable 
PBANKA_142950	inviable 
PBANKA_092360	inviable 
PBANKA_146100	competitive fitness: decreased 
PBANKA_051880	viable 
PBANKA_112490	competitive fitness: decreased 
PBANKA_070920	inviable 
PBANKA_060500	viable 
PBANKA_141730	inviable 
PBANKA_051180	inviable 
PBANKA_140490	inviable 
PBANKA_134160	inviable 
PBANKA_081390	inviable 
PBANKA_081870	inviable 
PBANKA_020420	viable 
PBANKA_112930	inviable 
PBANKA_060610	competitive fitness: decreased 
PBANKA_123120	inviable 
PBANKA_020390	inviable 
PBANKA_134810	viable 
PBANKA_110360	viable 
PBANKA_092350	inviable 
PBANKA_092000	viable 
PBANKA_110790	viable 
PBANKA_121480	viable 
PBANKA_120700	inviable 
PBANKA_102320	inviable 
PBANKA_083530	viable 
PBANKA_114360	inviable 
PBANKA_110900	inviable 
PBANKA_130340	viable 
PBANKA_123250	inviable 
PBANKA_080820	inviable 
PBANKA_040540	viable 
PBANKA_133970	viable 
PBANKA_060160	viable 
PBANKA_071740	inviable 
PBANKA_144850	inviable 
PBANKA_114470	viable 
PBANKA_131460	inviable 
PBANKA_112260	viable 
PBANKA_101850	competitive fitness: decreased 
PBANKA_103630	inviable 
PBANKA_145430	viable 
PBANKA_021100	inviable 
PBANKA_102020	viable 
PBANKA_081210	inviable 
PBANKA_144250	viable 
PBANKA_114050	viable 
PBANKA_011120	inviable 
PBANKA_093050	viable 
PBANKA_041480	viable 
PBANKA_101950	inviable 
PBANKA_130090	viable 
PBANKA_052160	viable 
PBANKA_131800	viable 
PBANKA_040100	inviable 
PBANKA_112170	inviable 
PBANKA_123410	viable 
PBANKA_051620	inviable 
PBANKA_071750	viable 
PBANKA_091210	inviable 
PBANKA_123970	viable 
PBANKA_040740	inviable 
PBANKA_133010	inviable 
PBANKA_114570	viable 
PBANKA_020660	inviable 
PBANKA_071880	inviable 
PBANKA_113820	inviable 
PBANKA_120900	inviable 
PBANKA_090630	viable 
PBANKA_093430	viable 
PBANKA_134130	viable 
PBANKA_143040	inviable 
PBANKA_140990	viable 
PBANKA_050680	viable 
PBANKA_142180	viable 
PBANKA_091380	inviable 
PBANKA_134760	inviable 
PBANKA_141560	inviable 
PBANKA_041450	competitive fitness: decreased 
PBANKA_131920	viable 
PBANKA_140510	viable 
PBANKA_060530	inviable 
PBANKA_010250	viable 
PBANKA_122520	viable 
PBANKA_113010	inviable 
PBANKA_071380	viable 
PBANKA_144620	inviable 
PBANKA_020290	inviable 
PBANKA_131380	inviable 
PBANKA_050270	inviable 
PBANKA_120840	viable 
PBANKA_120980	inviable 
PBANKA_091900	inviable 
PBANKA_090570	inviable 
PBANKA_143280	inviable 
